,start_time,end_time,wav_file,emotion,val,act,dom
98,153.9,155.1,Ses05M_script02_1_F012,xxx,2.0,3.0,3.5
99,172.82,179.42,Ses05M_script02_1_F013,fru,1.0,4.0,4.5
100,200.87,207.03,Ses05M_script02_1_F014,fru,1.5,4.0,4.5
101,207.63,209.33,Ses05M_script02_1_F015,fru,2.0,4.0,4.0
102,227.02,228.75,Ses05M_script02_1_F016,sad,2.0,2.5,3.0
103,229.59,230.94,Ses05M_script02_1_F017,xxx,2.5,2.0,2.5
104,243.5,253.41,Ses05M_script02_1_F018,fru,1.5,4.0,4.5
105,254.6,257.18,Ses05M_script02_1_F019,fru,2.5,2.5,3.5
106,347.37,348.72,Ses05M_script02_1_F020,xxx,3.0,2.0,2.5
107,3.79,24.84,Ses05M_script02_1_M000,exc,5.0,4.5,4.0
108,25.52,40.68,Ses05M_script02_1_M001,exc,4.0,4.0,4.0
109,40.69,56.78,Ses05M_script02_1_M002,exc,4.0,4.5,4.5
110,57.57,61.14,Ses05M_script02_1_M003,exc,2.0,4.0,4.5
111,62.9,63.97,Ses05M_script02_1_M004,xxx,3.0,2.0,2.5
112,70.03,77.28,Ses05M_script02_1_M005,exc,4.0,4.0,4.0
113,77.3,89.81,Ses05M_script02_1_M006,exc,4.0,4.0,4.0
114,90.33,105.52,Ses05M_script02_1_M007,exc,3.0,4.0,4.5
115,105.56,116.09,Ses05M_script02_1_M008,exc,3.0,4.0,4.0
116,116.1,122.9,Ses05M_script02_1_M009,exc,3.5,4.0,4.5
117,122.91,124.39,Ses05M_script02_1_M010,exc,2.5,4.0,3.5
118,126.47,134.14,Ses05M_script02_1_M011,xxx,2.0,4.0,4.0
119,134.67,136.0,Ses05M_script02_1_M012,xxx,4.0,3.0,3.5
120,136.17,137.56,Ses05M_script02_1_M013,xxx,4.0,4.0,3.5
121,138.01,143.69,Ses05M_script02_1_M014,xxx,2.0,4.0,4.5
122,145.02,146.85,Ses05M_script02_1_M015,xxx,2.0,3.5,3.5
123,149.12,150.67,Ses05M_script02_1_M016,fru,1.5,3.5,3.5
124,154.62,164.0679,Ses05M_script02_1_M017,exc,3.0,4.0,4.5
125,164.0779,173.36,Ses05M_script02_1_M018,exc,2.5,4.0,4.5
126,179.16,185.55,Ses05M_script02_1_M019,exc,3.0,4.0,4.5
127,185.56,194.6549,Ses05M_script02_1_M020,exc,2.0,4.0,4.5
128,194.6649,201.63,Ses05M_script02_1_M021,exc,5.0,4.5,4.5
129,206.56,208.27,Ses05M_script02_1_M022,fru,2.0,3.5,3.5
130,208.89,227.04,Ses05M_script02_1_M023,exc,3.5,4.0,4.5
131,228.55,230.18,Ses05M_script02_1_M024,fru,2.5,2.5,3.5
132,230.61,245.07,Ses05M_script02_1_M025,fru,2.0,4.5,4.5
133,252.93,254.85,Ses05M_script02_1_M026,xxx,2.0,3.5,3.5
134,256.68,263.55,Ses05M_script02_1_M027,xxx,3.0,4.0,4.5
135,270.55,276.68,Ses05M_script02_1_M028,exc,3.0,4.0,4.5
136,276.85,285.1,Ses05M_script02_1_M029,exc,4.5,4.0,4.5
137,285.1312,319.27,Ses05M_script02_1_M030,exc,4.5,5.0,5.0
138,321.54,333.18,Ses05M_script02_1_M031,exc,4.0,5.0,4.5
139,333.19,348.24,Ses05M_script02_1_M032,exc,5.0,5.0,5.0
140,348.4,353.28,Ses05M_script02_1_M033,exc,4.0,4.0,4.5
141,8.0341,13.5,Ses05F_script01_1_F000,sad,2.5,2.5,2.5
142,15.2259,19.1,Ses05F_script01_1_F001,xxx,2.0,3.0,3.0
143,20.57,22.1,Ses05F_script01_1_F002,xxx,2.5,2.0,2.5
144,28.98,32.13,Ses05F_script01_1_F003,xxx,2.5,3.0,2.5
145,38.11,39.88,Ses05F_script01_1_F004,sad,2.5,2.5,3.0
146,44.62,46.45,Ses05F_script01_1_F005,sad,3.0,2.5,2.5
147,50.95,53.31,Ses05F_script01_1_F006,sad,2.5,2.0,2.5
148,53.64,58.77,Ses05F_script01_1_F007,sad,2.5,2.5,3.0
149,61.98,64.23,Ses05F_script01_1_F008,sad,2.5,2.0,2.5
150,69.6,71.32,Ses05F_script01_1_F009,xxx,2.0,2.5,2.5
151,75.43,77.85,Ses05F_script01_1_F010,xxx,2.5,2.5,2.5
152,85.02,87.59,Ses05F_script01_1_F011,xxx,2.5,3.5,3.5
153,105.03,106.9,Ses05F_script01_1_F012,xxx,2.0,3.0,3.5
154,118.01,125.0,Ses05F_script01_1_F013,xxx,2.0,3.5,4.0
155,128.55,138.37,Ses05F_script01_1_F014,fru,2.0,4.0,4.0
156,141.53,150.17,Ses05F_script01_1_F015,xxx,1.5,4.0,4.0
157,156.16,157.9,Ses05F_script01_1_F016,xxx,3.0,2.0,2.5
158,159.19,162.28,Ses05F_script01_1_F017,neu,3.0,2.5,3.0
159,165.77,169.18,Ses05F_script01_1_F018,xxx,2.5,2.5,2.5
160,170.7,174.97,Ses05F_script01_1_F019,xxx,2.0,3.5,4.0
161,176.23,180.02,Ses05F_script01_1_F020,xxx,3.0,2.5,3.0
162,194.8,198.46,Ses05F_script01_1_F021,fru,2.5,4.0,3.5
163,200.09,207.41,Ses05F_script01_1_F022,xxx,2.5,3.5,4.5
164,207.47,217.98,Ses05F_script01_1_F023,fru,2.5,3.5,4.0
165,227.47,230.81,Ses05F_script01_1_F024,neu,2.5,2.5,3.5
166,232.17,235.16,Ses05F_script01_1_F025,neu,2.5,4.0,3.0
167,237.52,243.88,Ses05F_script01_1_F026,neu,2.5,3.0,3.0
168,260.33,263.33,Ses05F_script01_1_F027,neu,2.0,3.5,4.0
169,265.21,268.04,Ses05F_script01_1_F028,neu,2.5,2.5,3.0
170,268.85,273.34,Ses05F_script01_1_F029,xxx,2.5,3.0,4.0
171,284.94,294.2,Ses05F_script01_1_F030,fru,2.0,2.5,4.0
172,294.66,304.58,Ses05F_script01_1_F031,sad,1.5,2.5,4.0
173,307.68,309.78,Ses05F_script01_1_F032,xxx,3.0,2.0,2.5
174,323.18,324.64,Ses05F_script01_1_F033,ang,2.0,3.0,2.5
175,328.21,330.02,Ses05F_script01_1_F034,ang,2.0,3.0,3.5
176,333.8,339.38,Ses05F_script01_1_F035,fru,2.0,3.0,4.0
177,341.63,343.89,Ses05F_script01_1_F036,xxx,2.0,4.0,4.5
178,364.57,368.98,Ses05F_script01_1_F037,fru,2.5,4.5,3.5
179,372.58,381.37,Ses05F_script01_1_F038,ang,1.5,4.0,4.5
180,384.51,387.03,Ses05F_script01_1_F039,xxx,3.0,3.5,3.5
181,390.42,393.25,Ses05F_script01_1_F040,fru,2.0,2.0,3.0
182,397.29,399.91,Ses05F_script01_1_F041,xxx,2.0,3.5,3.5
183,13.0842,15.27,Ses05F_script01_1_M000,sad,2.5,2.5,3.0
184,18.61,21.02,Ses05F_script01_1_M001,sad,2.0,2.5,2.5
185,22.07,29.15,Ses05F_script01_1_M002,sad,2.0,3.0,3.0
186,31.97,38.22,Ses05F_script01_1_M003,sad,2.5,3.0,3.5
187,39.84,44.06,Ses05F_script01_1_M004,sad,2.5,3.0,3.0
188,46.11,49.33,Ses05F_script01_1_M005,sad,2.0,3.0,3.0
189,58.6,60.66,Ses05F_script01_1_M006,sad,2.0,3.0,2.5
190,63.8,70.23,Ses05F_script01_1_M007,sad,2.0,3.5,3.5
191,71.08,75.91,Ses05F_script01_1_M008,sad,1.5,3.0,4.0
192,77.56,85.46,Ses05F_script01_1_M009,sad,2.0,3.0,4.0
193,87.25,93.7,Ses05F_script01_1_M010,fru,2.0,3.5,4.0
194,94.09,105.27,Ses05F_script01_1_M011,fru,1.5,3.5,4.5
195,106.74,108.94,Ses05F_script01_1_M012,fru,2.0,3.5,4.0
196,122.81,129.61,Ses05F_script01_1_M013,ang,1.5,4.0,4.5
197,138.49,142.21,Ses05F_script01_1_M014,fru,2.5,3.5,3.5
198,148.2,151.92,Ses05F_script01_1_M015,fru,2.5,4.0,3.5
199,153.209,156.55,Ses05F_script01_1_M016,sad,3.0,3.0,3.5
200,157.72,159.51,Ses05F_script01_1_M017,fru,2.5,3.5,3.5
201,162.08,164.57,Ses05F_script01_1_M018,neu,3.0,3.0,3.5
202,168.72,171.3,Ses05F_script01_1_M019,fru,2.0,4.0,4.0
203,174.27,176.69,Ses05F_script01_1_M020,fru,2.0,4.0,4.0
204,178.56,186.79,Ses05F_script01_1_M021,xxx,1.0,4.0,4.5
205,186.82,195.41,Ses05F_script01_1_M022,xxx,1.0,4.0,4.5
206,197.51,200.21,Ses05F_script01_1_M023,xxx,1.0,4.5,4.5
207,218.66,228.42,Ses05F_script01_1_M024,fru,1.5,4.0,4.5
208,229.66,231.77,Ses05F_script01_1_M025,ang,1.5,4.5,4.5
209,234.53,237.36,Ses05F_script01_1_M026,xxx,2.5,2.5,3.0
210,243.45,256.96,Ses05F_script01_1_M027,xxx,2.0,3.0,4.0
211,262.74,265.79,Ses05F_script01_1_M028,fru,1.5,4.0,4.5
212,267.41,269.07,Ses05F_script01_1_M029,fru,2.5,3.5,4.5
213,274.55,285.95,Ses05F_script01_1_M030,fru,2.0,4.0,4.0
214,304.25,306.52,Ses05F_script01_1_M031,fru,3.0,3.0,3.5
215,309.44,322.85,Ses05F_script01_1_M032,fru,2.0,4.0,4.5
216,324.25,328.75,Ses05F_script01_1_M033,fru,2.5,4.0,4.0
217,329.45,333.55,Ses05F_script01_1_M034,xxx,1.5,4.0,5.0
218,338.66,342.56,Ses05F_script01_1_M035,ang,1.5,4.0,4.0
219,342.84,362.92,Ses05F_script01_1_M036,xxx,2.0,5.0,5.0
220,370.36,372.47,Ses05F_script01_1_M037,xxx,2.5,3.5,3.5
221,379.16,385.13,Ses05F_script01_1_M038,xxx,1.5,4.5,4.5
222,386.68,388.9,Ses05F_script01_1_M039,xxx,2.5,3.0,4.0
223,392.68,397.74,Ses05F_script01_1_M040,xxx,2.0,2.5,4.0
224,6.48,8.71,Ses05F_script03_1_F000,xxx,4.0,2.5,2.5
225,9.92,13.35,Ses05F_script03_1_F001,xxx,3.5,3.5,3.5
226,14.45,16.58,Ses05F_script03_1_F002,xxx,3.5,3.0,2.5
227,18.38,20.5,Ses05F_script03_1_F003,xxx,4.0,3.5,3.0
228,21.99,24.57,Ses05F_script03_1_F004,xxx,4.0,3.5,3.0
229,31.27,34.13,Ses05F_script03_1_F005,exc,4.0,3.5,3.0
230,35.27,37.28,Ses05F_script03_1_F006,exc,3.5,3.5,3.5
231,37.88,40.65,Ses05F_script03_1_F007,exc,4.0,3.0,3.0
232,44.44,50.16,Ses05F_script03_1_F008,xxx,3.5,3.5,3.0
233,52.55,55.79,Ses05F_script03_1_F009,xxx,2.5,3.0,3.0
234,58.45,61.56,Ses05F_script03_1_F010,neu,2.5,3.5,3.0
235,63.94,66.07,Ses05F_script03_1_F011,neu,3.0,3.5,3.0
236,73.09,75.2,Ses05F_script03_1_F012,xxx,2.5,3.5,3.0
237,77.72,79.21,Ses05F_script03_1_F013,neu,3.0,2.5,2.5
238,93.13,96.29,Ses05F_script03_1_F014,xxx,3.0,3.5,3.5
239,98.85,103.96,Ses05F_script03_1_F015,neu,3.0,3.5,2.5
240,107.15,109.72,Ses05F_script03_1_F016,xxx,3.5,3.5,3.0
241,111.11,113.91,Ses05F_script03_1_F017,xxx,3.0,2.0,2.5
242,116.85,119.46,Ses05F_script03_1_F018,xxx,2.5,3.0,3.0
243,120.83,124.29,Ses05F_script03_1_F019,neu,3.0,3.0,3.0
244,125.72,128.15,Ses05F_script03_1_F020,xxx,2.5,2.5,2.5
245,133.38,136.58,Ses05F_script03_1_F021,xxx,4.0,2.5,3.5
246,160.02,163.2,Ses05F_script03_1_F022,xxx,4.0,2.5,3.0
247,173.61,179.62,Ses05F_script03_1_F023,xxx,4.0,3.5,3.5
248,182.94,184.88,Ses05F_script03_1_F024,xxx,4.0,3.0,3.5
249,188.41,194.52,Ses05F_script03_1_F025,exc,4.0,3.5,3.5
250,195.41,200.48,Ses05F_script03_1_F026,xxx,4.5,4.0,4.0
251,201.79,204.88,Ses05F_script03_1_F027,xxx,4.0,3.0,3.5
252,209.54,213.88,Ses05F_script03_1_F028,xxx,4.0,3.5,3.0
253,216.42,218.8,Ses05F_script03_1_F029,xxx,3.0,3.0,2.5
254,220.71,227.12,Ses05F_script03_1_F030,exc,4.5,3.5,3.5
255,227.94,232.65,Ses05F_script03_1_F031,hap,4.5,4.0,3.5
256,232.69,234.22,Ses05F_script03_1_F032,xxx,4.0,3.0,3.5
257,241.67,243.4048,Ses05F_script03_1_F033,neu,3.0,2.5,2.5
258,4.33,6.67,Ses05F_script03_1_M000,exc,3.0,3.5,3.5
259,8.25,10.34,Ses05F_script03_1_M001,exc,4.0,3.5,3.5
260,13.09,14.92,Ses05F_script03_1_M002,xxx,3.5,3.5,3.5
261,15.81,19.04,Ses05F_script03_1_M003,xxx,2.5,3.5,3.5
262,20.16,22.28,Ses05F_script03_1_M004,xxx,3.5,3.5,3.0
263,24.18,31.88,Ses05F_script03_1_M005,exc,3.0,4.0,3.5
264,33.11,36.06,Ses05F_script03_1_M006,fea,3.5,4.0,3.0
265,36.45,38.54,Ses05F_script03_1_M007,exc,4.0,3.5,3.0
266,39.56,45.76,Ses05F_script03_1_M008,xxx,4.0,4.0,4.0
267,49.45,51.73,Ses05F_script03_1_M009,xxx,2.5,3.5,3.5
268,61.08,64.19,Ses05F_script03_1_M010,xxx,4.0,3.5,3.5
269,65.45,73.67,Ses05F_script03_1_M011,exc,3.0,4.5,4.5
270,74.92,78.21,Ses05F_script03_1_M012,xxx,4.0,3.5,3.5
271,78.73,93.54,Ses05F_script03_1_M013,exc,4.0,4.0,4.0
272,95.55,99.38,Ses05F_script03_1_M014,exc,3.5,3.5,3.0
273,109.23,110.75,Ses05F_script03_1_M015,exc,3.0,3.0,3.0
274,113.34,117.41,Ses05F_script03_1_M016,exc,3.0,3.5,3.5
275,118.58,121.07,Ses05F_script03_1_M017,exc,3.5,3.5,3.0
276,123.74,125.92,Ses05F_script03_1_M018,exc,3.5,3.5,3.5
277,127.43,133.54,Ses05F_script03_1_M019,exc,3.5,4.5,3.5
278,135.75,145.34,Ses05F_script03_1_M020,exc,3.5,4.0,4.0
279,145.35,154.33,Ses05F_script03_1_M021,exc,4.5,4.0,4.0
280,154.34,161.04,Ses05F_script03_1_M022,exc,4.0,3.5,4.5
281,162.41,173.96,Ses05F_script03_1_M023,xxx,4.5,4.0,4.0
282,179.08,183.24,Ses05F_script03_1_M024,exc,4.0,4.0,3.5
283,184.34,189.23,Ses05F_script03_1_M025,exc,3.0,3.5,3.0
284,193.75,196.37,Ses05F_script03_1_M026,exc,2.5,3.5,4.0
285,200.14,202.1,Ses05F_script03_1_M027,exc,4.5,3.5,3.0
286,204.58,211.55,Ses05F_script03_1_M028,exc,2.5,3.5,4.0
287,212.82,216.95,Ses05F_script03_1_M029,exc,4.5,3.5,3.0
288,218.47,220.62,Ses05F_script03_1_M030,neu,3.5,3.0,3.0
289,226.49,229.45,Ses05F_script03_1_M031,exc,4.5,4.0,4.0
290,230.61,233.32,Ses05F_script03_1_M032,exc,4.0,4.0,3.0
291,234.04,242.05,Ses05F_script03_1_M033,exc,2.5,4.0,3.5
292,5.4211,8.7432,Ses05F_script01_3_F000,hap,3.5,2.0,2.5
293,11.858,13.6306,Ses05F_script01_3_F001,hap,4.0,2.5,2.5
294,15.3432,20.1605,Ses05F_script01_3_F002,hap,3.5,2.5,2.5
295,21.9032,26.8707,Ses05F_script01_3_F003,hap,4.0,2.0,3.0
296,28.6434,31.56,Ses05F_script01_3_F004,xxx,2.5,2.0,3.0
297,31.8182,39.2895,Ses05F_script01_3_F005,xxx,3.0,3.0,2.5
298,41.1223,44.5,Ses05F_script01_3_F006,sad,3.0,2.0,2.5
299,55.0634,59.41,Ses05F_script01_3_F007,xxx,3.5,2.0,3.0
300,62.5848,66.9114,Ses05F_script01_3_F008,neu,3.5,2.5,3.0
301,80.2716,84.1875,Ses05F_script01_3_F009,hap,4.5,3.5,3.5
302,121.9347,125.1796,Ses05F_script01_3_F010,xxx,3.0,2.5,3.5
303,128.9754,132.4406,Ses05F_script01_3_F011,xxx,3.0,2.0,2.5
304,135.0145,137.17,Ses05F_script01_3_F012,xxx,3.5,2.0,3.0
305,139.942,141.47,Ses05F_script01_3_F013,xxx,4.0,2.0,2.5
306,143.3972,153.5827,Ses05F_script01_3_F014,xxx,5.0,3.5,3.0
307,174.8649,182.3262,Ses05F_script01_3_F015,hap,4.0,4.0,3.5
308,187.2937,189.6,Ses05F_script01_3_F016,hap,3.5,2.0,3.0
309,191.1696,199.0315,Ses05F_script01_3_F017,hap,2.5,3.0,3.0
310,202.5468,204.5999,Ses05F_script01_3_F018,xxx,2.5,3.0,3.0
311,208.8263,215.3462,Ses05F_script01_3_F019,xxx,2.5,2.0,3.0
312,228.5963,231.1802,Ses05F_script01_3_F020,sad,2.5,2.0,3.0
313,241.576,243.2685,Ses05F_script01_3_F021,neu,3.0,2.5,3.0
314,247.4448,249.2376,Ses05F_script01_3_F022,sad,2.5,2.5,2.5
315,251.9617,253.9647,Ses05F_script01_3_F023,sad,2.0,2.0,2.5
316,404.1923,406.66,Ses05F_script01_3_F024,neu,3.0,2.5,2.5
317,410.4317,427.7079,Ses05F_script01_3_F025,sad,2.5,3.5,4.5
318,431.1832,434.1377,Ses05F_script01_3_F026,hap,4.5,3.5,3.0
319,8.3326,12.4188,Ses05F_script01_3_M000,hap,4.0,3.5,3.0
320,20.2306,22.3539,Ses05F_script01_3_M001,xxx,4.0,3.0,3.0
321,27.1111,28.6434,Ses05F_script01_3_M002,sur,3.0,2.5,2.0
322,31.0871,32.1086,Ses05F_script01_3_M003,xxx,2.5,3.0,2.5
323,39.0692,40.63,Ses05F_script01_3_M004,neu,3.0,2.5,3.0
324,44.9982,55.0133,Ses05F_script01_3_M005,hap,3.5,4.0,2.5
325,60.041,62.42,Ses05F_script01_3_M006,neu,3.0,3.0,2.5
326,67.1718,79.4103,Ses05F_script01_3_M007,xxx,3.5,3.0,2.0
327,85.54,94.31,Ses05F_script01_3_M008,hap,5.0,4.0,4.5
328,94.3104,109.8564,Ses05F_script01_3_M009,exc,4.5,4.5,4.5
329,110.0,122.3654,Ses05F_script01_3_M010,exc,2.0,4.5,4.5
330,125.0194,128.9253,Ses05F_script01_3_M011,xxx,2.5,3.0,2.5
331,132.8012,135.4151,Ses05F_script01_3_M012,xxx,3.0,3.0,3.0
332,138.5399,140.9135,Ses05F_script01_3_M013,xxx,3.5,3.5,2.5
333,141.8148,144.3186,Ses05F_script01_3_M014,xxx,4.5,4.0,3.5
334,153.7129,157.2081,Ses05F_script01_3_M015,xxx,4.0,4.0,3.5
335,157.779,166.9028,Ses05F_script01_3_M016,exc,5.0,4.5,4.5
336,181.565,186.793,Ses05F_script01_3_M017,exc,4.5,4.5,4.0
337,189.6673,191.5201,Ses05F_script01_3_M018,xxx,2.5,3.5,2.5
338,199.9128,203.06,Ses05F_script01_3_M019,xxx,2.5,3.5,2.5
339,204.1092,206.7232,Ses05F_script01_3_M020,xxx,2.0,3.0,2.5
340,215.9071,222.6172,Ses05F_script01_3_M021,sad,2.0,2.5,3.5
341,225.4415,227.755,Ses05F_script01_3_M022,xxx,2.0,2.5,2.5
342,232.5647,236.2579,Ses05F_script01_3_M023,sad,2.0,3.0,2.0
343,238.1007,242.0467,Ses05F_script01_3_M024,sad,3.0,3.5,3.0
344,244.7207,247.1344,Ses05F_script01_3_M025,sad,2.5,2.5,3.5
345,249.9286,252.0118,Ses05F_script01_3_M026,sad,2.0,2.5,3.0
346,255.6227,262.738,Ses05F_script01_3_M027,sad,2.5,3.0,3.5
347,264.1301,276.4087,Ses05F_script01_3_M028,sad,3.0,4.0,4.0
348,276.8093,291.71,Ses05F_script01_3_M029,sad,3.5,4.0,4.0
349,291.7219,296.8998,Ses05F_script01_3_M030,sad,2.5,4.0,4.5
350,298.402,308.0466,Ses05F_script01_3_M031,sad,2.5,3.5,4.0
